taxa	sixhr_dmg	in_6_subset	arabi-defline	baseMean	H1U1_log2FC	I1U1_log2FC	I1H1_log2FC	H6U1_log2FC	I6U1_log2FC	I6H6_log2FC	onehr_dmg	in_1_subset	D_sixhr_dmg	D_in_6_subset	D_onehr_dmg	D_in_1_subset
Vigun01g023400	+		Cellulose synthase family protein	45.94408016	-0.211462987	0.217792339	0.429255326	2.209444904	2.244160737	0.034715832						
Vigun01g025800	+		"Protein of unknown function, DUF642"	21.12159358	-1.560301606	-0.391200011	1.169101595	2.560220228	2.216877213	-0.343343015						
Vigun01g026600	+		protein arginine methyltransferase 3	128.7579308	-0.208771132	0.234293373	0.443064505	1.613336337	2.390768099	0.777431762						
Vigun01g027400	+	In-amplified	no annotation	26.89863844	4.040214673	4.363825885	0.323611212	2.712118304	4.426709021	1.714590717	++				-	
Vigun01g027800	+		Eukaryotic aspartyl protease family protein	331.9449594	-0.743634589	-0.461714138	0.281920451	1.423723595	0.908824543	-0.514899052						
Vigun01g028000	+		calmodulin-like 41	24.9661161	5.584044896	5.94176	0.357715104	2.20804807	2.916051032	0.708002963	++				-	
Vigun01g029100	+		NB-ARC domain-containing disease resistance protein	20.26622865	-0.263929282	-0.356119293	-0.092190011	1.318721456	1.234668647	-0.084052809						
Vigun01g034300	+		homolog of nucleolar protein NOP56	1941.354922	-0.157638009	0.265740796	0.423378805	1.704679114	1.677847764	-0.026831349						
Vigun01g034700	+		no annotation	133.5719271	-0.12840939	0.504975387	0.633384778	1.531244011	1.631225385	0.099981374						
Vigun01g035500	+		Disease resistance-responsive (dirigent-like protein) family protein	8.304254025	0.480978267	1.259320307	0.77834204	1.483255122	1.754856696	0.271601574						
Vigun01g036700	++		IQ-domain 11	4.428075946	2.322403639	1.165075279	-1.15732836	4.321989135	3.755328732	-0.566660403						
Vigun01g036900	+		6-phosphogluconate dehydrogenase family protein	18.27160404	2.806737025	3.068231179	0.261494154	1.351883997	2.35856755	1.006683553	+				-	
Vigun01g037600	+	In-amplified	NAD(P)-binding Rossmann-fold superfamily protein	2493.608084	0.163041285	-0.558831593	-0.721872878	2.789149091	4.051074581	1.26192549						
Vigun01g037700	++		NAD(P)-binding Rossmann-fold superfamily protein	6.223617888	0.815369218	0	-0.595762035	5.390375326	6.89022145	1.499846124						
Vigun01g038000	+		NAD(P)-binding Rossmann-fold superfamily protein	16.68323918	0.747329361	0.326595204	-0.420734157	1.462189626	2.066814728	0.604625102						
Vigun01g039500	+		Protein of unknown function (DUF793)	69.09404916	4.952674763	4.826651931	-0.126022832	2.2581538	2.545679217	0.287525417	++				-	
Vigun01g039700	+		no annotation	73.39899469	-0.282333153	0.116574383	0.398907536	1.34867445	2.363216329	1.014541879						
Vigun01g040400	+		AGAMOUS-like 26	17.5194069	-0.287479926	0.318848752	0.606328678	1.444058411	0.461184107	-0.982874304						
Vigun01g041000	+		gametophytic factor 2	131.5974641	-0.106592691	0.203199294	0.309791985	1.117624807	1.441965944	0.324341137						
Vigun01g042000	+		no annotation	76.05755605	0.572402664	1.325250395	0.752847732	1.906136507	2.652890755	0.746754247						
Vigun01g042500	+	In-amplified	no annotation	76.88383941	5.211470097	7.903638767	2.69216867	2.052739203	4.329570504	2.276831301	++	In-amplified			-	
Vigun01g046600	+		no annotation	14.69497658	4.384450368	5.089792545	0.705342177	2.649700399	3.150954614	0.501254215	++				-	
Vigun01g048600	+		P-loop containing nucleoside triphosphate hydrolases superfamily protein	73.37907479	-0.489950807	0.295247415	0.785198222	1.783965956	2.261856614	0.477890658						
Vigun01g049000	+		CTP synthase family protein	394.2315539	0.421137802	0.910207344	0.489069542	1.012711261	1.28377753	0.27106627						
Vigun01g049300	++		myosin-like protein XIF	157.3794033	1.051918579	1.530553857	0.478635279	3.266483016	3.781180485	0.514697469	+				-	
Vigun01g050200	++		glutathione S-transferase TAU 19	4027.946619	1.902225641	1.547089429	-0.355136212	6.03136763	6.950397522	0.919029892	+				-	
Vigun01g050300	++		glutathione S-transferase TAU 19	4.694879096	0.796162576	0.219607166	-0.57655541	4.854215587	5.367577788	0.513362201						
Vigun01g050400	++		glutathione S-transferase TAU 25	102.5030168	4.361009792	5.761365945	1.400356153	8.50480786	9.077499083	0.572691223	++				-	
Vigun01g051400	++		glutathione S-transferase TAU 22	33.98161254	4.791998365	4.722323418	-0.069674947	3.714937291	4.670788606	0.955851314	++				-	
Vigun01g051700	++		glutathione S-transferase TAU 19	51.42285558	1.616805824	0.924578289	-0.692227536	3.776863708	4.801332009	1.024468301	+				-	
Vigun01g052900	++		VQ motif-containing protein	44.39990056	3.858180152	7.715823511	3.857643359	4.462160325	5.419743314	0.957582989	++	In-amplified			-	
Vigun01g054800	+		LOB domain-containing protein 4	36.65973185	-1.835846543	-0.870957454	0.964889089	1.354024602	1.024637666	-0.329386937						
Vigun01g058100	++		no annotation	26.34271734	7.869778754	7.168735553	-0.7010432	4.166137364	4.269142111	0.103004747	++				-	
Vigun01g058600	+		myb domain protein 63	6.680359986	-0.301999096	-0.377603173	-0.075604077	2.042499683	3.031174625	0.988674942						
Vigun01g060500	+		Ribosomal protein L1p/L10e family	1479.183061	-0.217756031	0.111345557	0.329101588	1.720966644	1.377459147	-0.343507497						
Vigun01g061100	+		Protein kinase superfamily protein	115.6546522	2.989134475	3.509968492	0.520834017	1.56435539	0.943416846	-0.620938544	+				-	
Vigun01g062400	+		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	16.03972448	-1.620187092	-1.360381454	0.259805638	1.282819977	0.726499807	-0.55632017						
Vigun01g064900	+		no annotation	12.19253325	0.639989546	1.156312884	0.516323338	1.829975153	1.721117376	-0.108857778						
Vigun01g065500	+		CCT motif family protein	45.14723885	-0.929322535	-0.705474106	0.223848429	1.101882048	1.056500818	-0.04538123						
Vigun01g066900	+		P-loop containing nucleoside triphosphate hydrolases superfamily protein	336.1972833	1.243408561	1.468114767	0.224706206	1.014524789	1.068419036	0.053894247	+				-	
Vigun01g067000	++		calmodulin-like 38	347.6946311	4.393048423	5.317953421	0.924904998	5.082901033	5.821193562	0.738292529	++				-	
Vigun01g067500	+		Cupredoxin superfamily protein	8.928511221	0.141850262	0.596944458	0.455094196	1.878952147	1.34037101	-0.538581136						
Vigun01g067600	+		Myzus persicae-induced lipase 1	59.26956715	0.225231917	0.539813897	0.31458198	2.511777593	1.578681826	-0.933095767						
Vigun01g068100	+		chloride channel B	57.32663824	-1.26288195	-0.174223961	1.088657988	1.183875996	-0.170112197	-1.353988193				In-prolonged		
Vigun01g069900	+		Ferritin/ribonucleotide reductase-like family protein	224.4999321	1.071240846	1.94078934	0.869548494	2.25229994	2.537072602	0.284772661	+				-	
Vigun01g071800	+		WRKY DNA-binding protein 75	14.32475249	1.324718733	1.64551051	0.320791777	2.301917056	2.913543337	0.611626281						
Vigun01g073200	++		HXXXD-type acyl-transferase family protein	3.228871374	0.816933449	0.219607154	-0.597326295	4.188477187	4.867592601	0.679115413						
Vigun01g073300	+		Pollen Ole e 1 allergen and extensin family protein	11.63727384	-0.56632122	-0.978655792	-0.412334572	2.054347558	0.040520279	-2.013827279				In-specific		
Vigun01g075800	++		B-box type zinc finger protein with CCT domain	48.27032894	2.086161485	2.624941027	0.538779542	4.681889866	5.566457949	0.884568083	+				-	
Vigun01g076300	+		GRAM domain family protein	439.7516075	3.968356789	3.890906987	-0.077449802	2.878163275	3.292851485	0.41468821	++				-	
Vigun01g076700	+		no annotation	8.425411201	0.718102328	0.291402677	-0.426699651	1.955507246	0.838011963	-1.117495283						
Vigun01g077800	+		no annotation	18.15167051	0.438878988	-0.179803855	-0.618682843	1.575388653	0.680641239	-0.894747414						
Vigun01g078700	+		MALE GAMETOPHYTE DEFECTIVE 2	88.34800151	1.030028531	1.297186293	0.267157762	1.283428348	1.40990115	0.126472801	+				-	
Vigun01g079400	++		Integrase-type DNA-binding superfamily protein	5.753212212	0	0	0	4.95575143	6.890928624	1.935177194						
Vigun01g079500	+		no annotation	6.786466416	-2.751419671	-0.372393818	2.379025853	2.857895481	2.526432189	-0.331463291						
Vigun01g079700	+		no annotation	31.01694506	-0.610522756	0.425154856	1.035677613	1.420371138	2.062683489	0.642312351						
Vigun01g079800	++		UDP-Glycosyltransferase superfamily protein	20.8134217	7.149835671	7.358114006	0.208278335	3.105068766	3.561272533	0.456203766	++				-	
Vigun01g081000	+		Protein of unknown function (DUF2921)	5.983060929	0.187490173	-0.023184463	-0.210674637	1.929508759	1.525231418	-0.40427734						
Vigun01g082300	++		soybean gene regulated by cold-2	5.053067575	4.983060831	6.154433648	1.171372817	3.293893789	4.189080503	0.895186714	++				-	
Vigun01g084300	+		apyrase 2	55.83794554	0.415934946	0.866507217	0.450572271	1.344488855	1.371287102	0.026798247						
Vigun01g085100	+		no annotation	39.71373459	0.045929228	0.169741542	0.123812314	1.987944393	2.223897685	0.235953292						
Vigun01g085300	++		hydroxyproline-rich glycoprotein family protein	1.729570078	1.452626479	0.873860743	-0.578765736	3.532398466	3.385331045	-0.147067421						
Vigun01g085400	++		Arabidopsis NAC domain containing protein 87	38.50898404	2.118862374	1.596054262	-0.522808112	3.21623713	3.606465707	0.390228577	+				-	
Vigun01g085900	++		O-Glycosyl hydrolases family 17 protein	71.80279123	1.27419654	1.048692952	-0.225503588	3.077807642	3.536239033	0.458431391	+				-	
Vigun01g086400	+		ARM repeat superfamily protein	33.77530818	-0.746465736	-0.465259173	0.281206563	1.416715537	0.863895295	-0.552820242						
Vigun01g086500	+		NDH-dependent cyclic electron flow 1	105.4212441	-0.884567095	-0.486398303	0.398168791	1.546816948	0.310463576	-1.236353372				In-specific		
Vigun01g086600	+		evolutionarily conserved C-terminal region 2	369.8978244	0.139314505	0.180175924	0.040861419	1.116165125	1.127374093	0.011208968						
Vigun01g086800	+		"H/ACA ribonucleoprotein complex, subunit Gar1/Naf1 protein"	270.9236772	-0.060596967	0.732391874	0.792988842	2.156955998	2.427960965	0.271004966						
Vigun01g087000	+		"Pre-rRNA-processing protein TSR2, conserved region"	112.6340895	0.076160334	0.224431811	0.148271477	1.052578174	1.335123583	0.282545409						
Vigun01g088500	++		no annotation	2508.591658	5.046944388	4.87474491	-0.172199478	3.344868514	3.172048545	-0.172819969	++				-	
Vigun01g088800	++		spermidine hydroxycinnamoyl transferase	29.94570395	2.083940567	2.668014026	0.584073459	7.674611606	9.136710806	1.4620992						
Vigun01g088900	+	In-amplified	spermidine hydroxycinnamoyl transferase	165.9145687	3.414575708	3.864678466	0.450102759	1.445521354	3.576341316	2.130819962	++				-	
Vigun01g090000	++		disease resistance family protein / LRR family protein	9.056799955	0.815372091	1.644142734	0.828770643	6.708435993	6.982386342	0.273950349						
Vigun01g090300	+		MIF4G domain-containing protein / MA3 domain-containing protein	46.61308774	-0.076646672	0.074221941	0.150868613	1.020975069	1.102248638	0.081273569						
Vigun01g091000	+		"Polynucleotidyl transferase, ribonuclease H fold protein with HRDC domain"	67.24515169	2.930430941	3.395750479	0.465319537	2.030981011	2.057842557	0.026861546	+				-	
Vigun01g091200	+		PSF2	3.981925399	-0.330362255	0.052898963	0.383261219	2.306128572	1.762470136	-0.543658436						
Vigun01g091500	+		Leucine-rich repeat protein kinase family protein	85.36833218	-0.733588954	-0.377094172	0.356494782	1.26448023	1.692127709	0.427647479						
Vigun01g094000	++		cycling DOF factor 2	6.789014476	1.509348757	2.130005904	0.620657147	3.791569059	4.38230034	0.59073128						
Vigun01g094200	++		Peroxidase superfamily protein	3.093051391	3.172197532	5.49453389	2.322336358	3.571466901	3.825366928	0.253900027						
Vigun01g095200	+		cysteine synthase 26	19.43257727	-0.903562858	0.527618328	1.431181186	1.3432827	1.136311084	-0.206971616						
Vigun01g095600	+		GDSL-like Lipase/Acylhydrolase superfamily protein	62.53109205	-0.901388555	-0.161325277	0.740063278	2.011645203	2.097339645	0.085694443						
Vigun01g096100	++		MATE efflux family protein	84.71082062	0.952762393	1.175436647	0.222674255	3.400746156	3.919049014	0.518302859						
Vigun01g101700	+		ribosomal protein S27	1498.623292	-0.473250398	0.289118013	0.762368411	1.091720741	1.220032494	0.128311753						
Vigun01g101800	+		VQ motif-containing protein	789.9093088	3.633144593	3.894300435	0.261155842	1.215872592	0.516135586	-0.699737006	++				-	
Vigun01g101900	+		"Nascent polypeptide-associated complex (NAC), alpha subunit family protein"	1704.230845	-0.224253945	0.212622086	0.43687603	1.061883896	1.301525726	0.23964183						
Vigun01g103000	+		Major facilitator superfamily protein	266.7935276	-0.861081355	-0.990170372	-0.129089016	1.724559317	1.382068531	-0.342490786						
Vigun01g103400	+		basic region/leucine zipper motif protein 49	424.4214091	3.055910405	2.708459084	-0.347451321	1.014901326	0.922457641	-0.092443685	++				-	
Vigun01g105100	++	In-amplified	Auxin efflux carrier family protein	50.79730823	-1.942054485	2.347664564	4.289719049	5.621679975	7.123362582	1.501682607		In-accelerated				
Vigun01g105200	+		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	46.12306643	2.096440532	0.834357659	-1.262082873	1.042591875	1.657789159	0.615197283	+				-	In-specific
Vigun01g106400	+		PENTATRICOPEPTIDE REPEAT 596	61.52872452	0.285632231	0.449521052	0.163888821	1.031186893	1.651404446	0.620217553						
Vigun01g108000	+		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	1376.691358	1.277023502	1.914681986	0.637658483	1.665432238	2.598500329	0.933068091	+				-	
Vigun01g109500	+		Calcium-binding EF-hand family protein	3265.00762	2.383918742	2.516779564	0.132860823	1.130575425	1.049125253	-0.081450172	+				-	
Vigun01g110700	+		N-acetyltransferases;N-acetyltransferases	5.15842035	1.866916362	2.158247896	0.291331534	2.128678598	1.613034176	-0.515644422						
Vigun01g110800	+		elongation defective 1 protein / ELD1 protein	26.50127101	0.621778556	0.574142345	-0.04763621	1.391377062	1.321577799	-0.069799263						
Vigun01g111100	+	In-amplified	"beta-1,3-glucanase 1"	77.02311256	-0.547901946	0.279198412	0.827100358	1.413943503	3.115389499	1.701445996						
Vigun01g111400	+		RECA homolog 3	33.52877463	0.129283057	-0.113202884	-0.242485941	1.079325283	1.12389864	0.044573357						
Vigun01g112200	+		6-phosphogluconate dehydrogenase family protein	11.08160967	0.198017774	0.983770127	0.785752352	2.982979233	2.346079398	-0.636899835						
Vigun01g113800	+		Glycosyltransferase family 61 protein	12.72068234	3.323420459	4.22112002	0.89769956	2.609897422	2.26839461	-0.341502813	++				-	
Vigun01g114400	++		heat shock transcription factor B3	9.445998961	-0.618478045	2.205669464	2.824147509	5.403757228	5.404682023	9.25E-04						
Vigun01g116700	+		Leucine-rich repeat protein kinase family protein	9.225348746	-2.546393178	-1.692741389	0.853651789	2.217631051	1.837046699	-0.380584352						
Vigun01g117800	+		guanylate kinase	197.6204665	1.167524539	1.968122064	0.800597525	2.237444391	2.568000282	0.330555891	+				-	
Vigun01g118100	+		mitochondrial RNAediting factor 1	12.15738237	0.348961573	-0.335417386	-0.684378959	1.710711431	1.016481206	-0.694230225						
Vigun01g119500	+		Chaperone DnaJ-domain superfamily protein	27.28247447	-0.834805621	-0.405596237	0.429209385	1.681932274	1.488969742	-0.192962532						
Vigun01g121100	+		uv-b-insensitive 4	23.11015667	-1.63774502	-0.468405819	1.169339201	2.189458962	0.971885041	-1.217573922						
Vigun01g124100	++		Late Embryogenesis Abundant 4-5	3.701654718	4.425904861	5.253501591	0.82759673	4.065578964	4.297081263	0.231502299	++				-	
Vigun01g124200	++		Late Embryogenesis Abundant 4-5	1216.435988	7.598962164	7.418582266	-0.180379898	5.380938297	5.617477046	0.236538749	++				-	
Vigun01g124700	+		actin-12	576.7518769	0.339085343	0.742037859	0.402952517	1.881678097	1.438197946	-0.443480152						
Vigun01g125800	+		Plant protein of unknown function (DUF828)	32.70375212	1.430682262	2.159104562	0.7284223	1.717392506	2.524739677	0.807347171	+				-	
Vigun01g126000	+		Aha1 domain-containing protein	1051.965339	1.160496659	1.112300498	-0.048196161	1.303504389	1.37910344	0.075599051	+				-	
Vigun01g127400	+		Disease resistance-responsive (dirigent-like protein) family protein	42.37639045	0.992867884	1.603163589	0.610295705	2.906517854	3.048909081	0.142391227						
Vigun01g127700	++		Disease resistance-responsive (dirigent-like protein) family protein	2.808447748	0	0.94095358	0.846925287	3.79360204	5.850589282	2.056987242						
Vigun01g128100	+		gamma histone variant H2AX	128.0533886	-1.667688388	-0.081456578	1.58623181	2.480269656	2.000805163	-0.479464493						
Vigun01g129000	+		receptor-like kinase in in flowers 3	23.79504238	2.261889877	3.511697106	1.249807229	1.910802633	2.238615998	0.327813365	+	In-amplified			-	
Vigun01g129300	++		phosphatidic acid phosphatase-related / PAP2-related	1.811114216	2.443849786	0	-2.224242687	4.520229471	4.243466885	-0.276762586						
Vigun01g129500	+		Auxin-responsive GH3 family protein	104.9029504	2.430728826	2.439225599	0.008496773	2.194364816	1.588327683	-0.606037133	+				-	
Vigun01g130600	+		GTP binding Elongation factor Tu family protein	276.6213335	-0.352641145	0.282762517	0.635403662	1.512764684	1.381531224	-0.13123346						
Vigun01g133900	+		ARM repeat protein interacting with  ABF2	8.88569045	-1.217488138	0.129285411	1.346773548	2.511617205	3.283826128	0.772208922						
Vigun01g135800	+		Transducin/WD40 repeat-like superfamily protein	29.06762514	-0.196216254	0.382529717	0.578745971	1.703265478	1.743235427	0.039969949						
Vigun01g137500	+		ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	319.7150095	0.788223775	1.833348957	1.045125182	1.918093717	2.475708011	0.557614295		In-accelerated				
Vigun01g137700	++		calmodulin-like 11	105.668823	3.322324288	7.610544256	4.288219968	3.086638209	3.805607303	0.718969094	++	In-amplified			-	
Vigun01g138000	+		ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	5.004388568	-0.188275964	1.863125939	2.051401904	2.107539643	0.639835842	-1.467703801						
Vigun01g138100	+		histone H2A 11	100.20064	-0.849604983	0.081115823	0.930720806	2.209025188	1.544249423	-0.664775765						
Vigun01g139100	++	In-amplified	alpha/beta-Hydrolases superfamily protein	880.758339	3.274777746	4.179574873	0.904797127	5.54367558	8.143861376	2.600185796	++				-	
Vigun01g139500	+		DREB2A-interacting protein 2	10.5856201	1.759994699	2.166985337	0.406990638	2.369036465	2.36734807	-0.001688395						
Vigun01g140000	++		"cytochrome P450, family 94, subfamily B, polypeptide 1"	190.3928439	5.708525273	5.481969434	-0.226555839	3.815371028	4.746438499	0.931067471	++				-	
Vigun01g140100	++	In-amplified	"cytochrome P450, family 94, subfamily B, polypeptide 1"	154.0903894	5.054762351	7.613682195	2.558919844	4.516869189	6.195759838	1.678890649	++	In-amplified			-	
Vigun01g140500	++	In-amplified	no annotation	5.876615464	0	6.294140248	6.200109854	3.685764066	5.946160833	2.260396767		In-accelerated				
Vigun01g141500	+		HR-like lesion-inducing protein-related	73.48040675	0.375374543	0.783739917	0.408365374	1.468813423	2.445485662	0.976672239						
Vigun01g142600	+		phosphate transporter 1;7	309.3985483	0.870625894	0.544727458	-0.325898436	1.702090512	2.014095197	0.312004685						
Vigun01g142700	+		actin depolymerizing factor 6	978.9674042	0.598872752	0.854149755	0.255277003	1.032326416	0.892720184	-0.139606232						
Vigun01g142900	++		myb domain protein 15	8.949130304	0.81537282	2.233993894	1.418621074	5.895619049	7.386349744	1.490730695						
Vigun01g143400	+		Sugar isomerase (SIS) family protein	87.28864148	0.083386234	1.28412518	1.200738946	1.838025014	2.012251046	0.174226032		In-accelerated				
Vigun01g143900	+		nucleolar RNA-binding Nop10p family protein	863.1060002	-0.053965506	0.349040517	0.403006023	1.462278582	1.06969976	-0.392578822						
Vigun01g146900	+		Pentatricopeptide repeat (PPR-like) superfamily protein	24.19712175	0.665582562	2.077507319	1.411924757	1.886121447	2.102699031	0.216577584		In-accelerated				
Vigun01g147800	++		pleiotropic drug resistance 12	33.25699274	4.258934482	3.755003094	-0.503931387	4.412755611	5.263506915	0.850751304	++				-	
Vigun01g148200	++		response regulator 24	3.498923904	0.791985517	0.918238692	0.126253175	3.923153291	5.169049603	1.245896311						
Vigun01g148700	++		plus-3 domain-containing protein	2.032937992	-0.627317249	0.21960711	0.846924359	4.060722402	3.785859549	-0.274862854						
Vigun01g148800	+		RmlC-like cupins superfamily protein	68.74161314	3.397908409	4.580796728	1.182888319	2.623925909	2.80979465	0.185868741	++	In-amplified			-	
Vigun01g149300	+		Protein kinase superfamily protein	62.48285042	-0.259028944	0.061041542	0.320070485	1.074247859	1.108418217	0.034170359						
Vigun01g150500	+		heat shock cognate protein 70-1	3215.608506	1.548852971	1.744162145	0.195309174	2.14347692	2.464569209	0.32109229	+				-	
Vigun01g150700	+		histone H4	435.8675204	-0.844116684	-0.754300676	0.089816008	1.056845128	0.342885088	-0.71396004						
Vigun01g150800	++	In-amplified	cation/H+ exchanger 20	14.620054	2.637930869	5.267391936	2.629461067	4.614088715	6.145696764	1.531608049		In-accelerated				
Vigun01g151100	+		RNA-binding (RRM/RBD/RNP motifs) family protein	65.13930938	-0.22071307	0.163300761	0.384013831	1.263933457	1.664933347	0.40099989						
Vigun01g152700	+		no annotation	224.4618573	-0.048565067	-0.00655081	0.042014257	1.003011444	0.681193373	-0.321818071						
Vigun01g153200	+		C2H2 and C2HC zinc fingers superfamily protein	444.3140634	5.613349926	6.588216991	0.974867065	2.874819337	3.744970339	0.870151002	++				-	
Vigun01g154700	++		ABC-2 type transporter family protein	1.661879581	-0.627317887	1.84000124	2.467319128	3.259729962	3.674545757	0.414815795						
Vigun01g157900	+		TFIIB zinc-binding protein	13.65557793	-0.438158948	-0.421349449	0.016809499	1.436834345	2.158213706	0.721379361						
Vigun01g158700	+		homolog of mamallian P58IPK	91.58671112	-0.008476396	0.143601738	0.152078134	1.605428758	2.179284299	0.573855541						
Vigun01g159700	++		no annotation	6.885589149	5.794984974	5.175688772	-0.619296202	3.204162335	2.863424596	-0.340737739	++				-	
Vigun01g160300	+		PHE ammonia lyase 1	241.903426	2.391007403	3.810587722	1.419580319	1.316856569	1.741711051	0.424854482	+	In-amplified			-	
Vigun01g162100	+		myb domain protein 36	138.7783591	-0.292370043	-0.151583973	0.140786069	1.597173993	2.575748592	0.978574599						
Vigun01g164200	+		RAB GTPase homolog C2A	62.10580214	0.622068041	0.166304024	-0.455764016	1.214879314	0.784846629	-0.430032685						
Vigun01g164400	+		transducin family protein / WD-40 repeat family protein	240.864321	-0.070657831	0.394027116	0.464684947	1.804907692	1.672820331	-0.132087361						
Vigun01g165200	+		UDP-glucosyl transferase 73C1	90.7680817	1.291219967	0.88134759	-0.409872377	1.725299913	1.289881811	-0.435418102	+				-	
Vigun01g165300	+		UDP-glucosyl transferase 73C1	28.80676003	4.555996257	4.241088841	-0.314907416	2.124257338	3.000442559	0.876185221	++				-	
Vigun01g165400	+		UDP-glucosyl transferase 73C1	276.4285699	2.395676783	1.750068711	-0.645608072	1.562209701	1.576693873	0.014484171	+				-	
Vigun01g165600	+		UDP-glucosyl transferase 73C2	83.87997967	3.069287673	2.686314559	-0.382973114	2.092227104	1.547415343	-0.544811761	++				-	
Vigun01g165700	+		UDP-Glycosyltransferase superfamily protein	35.55629571	0.98098958	0.70801305	-0.27297653	2.439486327	2.327671809	-0.111814517						
Vigun01g167600	++		embryonic cell protein 63	7.778101726	4.163235203	5.734042708	1.570807505	5.80588501	6.233632331	0.427747321	++				-	
Vigun01g168700	+		Nucleotide-diphospho-sugar transferases superfamily protein	20.01583767	0.115290272	-0.071771305	-0.187061577	1.018743332	-0.61173898	-1.630482311				In-specific		
Vigun01g168800	+		pentatricopeptide (PPR) repeat-containing protein	21.16245641	-0.186437958	0.373971654	0.560409612	1.0603055	1.149619854	0.089314354						
Vigun01g169300	+		HhH-GPD base excision DNA repair family protein	146.4940947	-0.616660926	-0.091093162	0.525567764	1.665622472	1.553598985	-0.112023487						
Vigun01g170100	++		D-mannose binding lectin protein with Apple-like carbohydrate-binding domain	13.72596148	0.121917488	0.243263273	0.121345785	4.069713183	4.196860199	0.127147016						
Vigun01g171800	+		60S acidic ribosomal protein family	875.8014376	-0.924686889	0.348152778	1.272839667	1.588025763	1.791967129	0.203941366		In-accelerated				
